date,company,open_price,high_price,low_price,close_price,volume,market_sentiment,daily_return,price_range,month,year
2016-12-30,Amazon,201.53,962.04,195.68,1364.61,3797645,Bullish,70.05121686792029,766.3599999999999,2016-12,2016
2017-01-24,Amazon,1352.61,750.18,996.41,1250.58,41972088,Neutral,-8.356233649174483,-246.23000000000002,2017-01,2017
2017-01-31,Amazon,1331.85,175.0,157.75,346.36,19399596,Neutral,-72.30405092037294,17.25,2017-01,2017
2017-02-14,Amazon,1226.22,1396.59,232.91,1277.72,3070058,Neutral,268.89941101743847,1163.6799999999998,2017-02,2017
2017-02-18,Amazon,1160.12,714.44,279.62,203.67,3982119,Bearish,-84.05988792536706,434.82000000000005,2017-02,2017
2017-02-20,Amazon,953.08,194.85,145.49,892.21,26250064,Bullish,338.0664800903423,49.359999999999985,2017-02,2017
2017-02-21,Amazon,89.66,127.61,860.19,735.19,24740088,Neutral,-17.598995752121137,-732.58,2017-02,2017
2017-03-09,Amazon,156.03,1130.7,1009.3,213.31,33142223,Bullish,-70.98573157959167,121.40000000000009,2017-03,2017
2017-03-10,Amazon,653.62,477.19,426.43,1470.29,5993407,Bearish,589.2738268248089,50.75999999999999,2017-03,2017
2017-03-16,Amazon,607.22,495.52,948.47,95.47,46561548,Bearish,-93.50672316345755,-452.95000000000005,2017-03,2017
2017-03-20,Amazon,477.89,1522.47,561.31,868.91,44441787,Bullish,810.1393107782549,961.1600000000001,2017-03,2017
2017-03-25,Amazon,866.37,1065.83,924.69,284.39,48033418,Bullish,-67.2704883129438,141.13999999999987,2017-03,2017
2017-04-01,Amazon,312.26,57.21,699.31,593.64,18787551,Neutral,108.74151693097507,-642.0999999999999,2017-04,2017
2017-04-09,Amazon,765.01,1070.0,707.21,353.9,36549769,Bullish,-40.384744963277406,362.78999999999996,2017-04,2017
2017-04-13,Amazon,905.16,934.52,231.75,924.37,9735905,Bearish,161.19525289629843,702.77,2017-04,2017
2017-04-20,Amazon,1434.98,1170.85,234.49,1233.5,47052760,Bullish,33.44223633393555,936.3599999999999,2017-04,2017
2017-04-24,Amazon,175.47,328.39,122.06,382.18,16123231,Bearish,-69.01661937576003,206.32999999999998,2017-04,2017
2017-04-27,Amazon,977.21,1115.19,1429.13,625.51,7741158,Neutral,63.66895180281542,-313.94000000000005,2017-04,2017
2017-05-03,Amazon,1043.61,1404.56,480.22,1313.72,31944930,Bearish,110.02382056242107,924.3399999999999,2017-05,2017
2017-05-07,Amazon,986.15,920.88,729.73,1369.96,7155059,Neutral,4.280973114514519,191.14999999999998,2017-05,2017
2017-05-14,Amazon,472.13,730.73,476.15,315.92,5668339,Bearish,-76.93947268533388,254.58000000000004,2017-05,2017
2017-05-15,Amazon,1344.11,1509.85,1061.1,841.26,48473248,Bullish,166.28893390731827,448.75,2017-05,2017
2017-05-23,Amazon,971.45,1436.42,563.84,377.83,45100992,Neutral,-55.08760668521029,872.58,2017-05,2017
2017-05-31,Amazon,487.79,331.49,692.66,492.93,44765718,Neutral,30.46343593679699,-361.16999999999996,2017-05,2017
2017-06-20,Amazon,161.63,886.09,897.72,168.92,14803904,Bullish,-65.73144259834054,-11.629999999999995,2017-06,2017
2017-06-29,Amazon,515.75,1427.21,80.62,1428.93,10808603,Bullish,745.921146104665,1346.5900000000001,2017-06,2017
2017-06-30,Amazon,496.37,834.1,1376.87,1012.35,39690840,Neutral,-29.153282526085956,-542.7699999999999,2017-06,2017
2017-07-02,Amazon,712.82,241.03,522.98,607.86,18289806,Neutral,-39.95554897021781,-281.95000000000005,2017-07,2017
2017-07-14,Amazon,190.24,1438.22,958.37,425.48,8639825,Neutral,-30.003619254433588,479.85,2017-07,2017
2017-07-20,Amazon,447.81,144.2,496.07,750.11,33147430,Bullish,76.29735827770988,-351.87,2017-07,2017
2017-07-24,Amazon,1135.2,392.65,154.15,817.73,11700493,Bullish,9.014677847249075,238.49999999999997,2017-07,2017
2017-08-03,Amazon,481.0,166.83,1347.44,750.8,46566826,Bearish,-8.18485319115112,-1180.6100000000001,2017-08,2017
2017-08-04,Amazon,1298.72,303.08,578.01,1395.59,25523673,Bullish,85.88039424613744,-274.93,2017-08,2017
2017-09-01,Amazon,820.78,548.55,218.0,556.14,43559100,Bullish,-60.150187375948526,330.54999999999995,2017-09,2017
2017-09-02,Amazon,1389.44,813.86,917.41,1281.76,39650955,Bearish,130.47434099327506,-103.54999999999995,2017-09,2017
2017-09-12,Amazon,1453.17,722.61,183.41,1258.24,28496619,Bearish,-1.8349769067532162,539.2,2017-09,2017
2017-10-04,Amazon,724.88,132.89,164.0,602.12,44593054,Bullish,-52.14585452695829,-31.110000000000014,2017-10,2017
2017-10-15,Amazon,714.07,118.79,771.01,62.42,9112746,Bearish,-89.63329568856706,-652.22,2017-10,2017
2017-10-17,Amazon,857.19,959.94,258.63,949.11,21429886,Bullish,1420.5222685036847,701.3100000000001,2017-10,2017
2017-10-18,Amazon,706.68,430.61,1369.36,992.49,10724281,Bullish,4.5705977178619905,-938.7499999999999,2017-10,2017
2017-10-23,Amazon,1437.09,1352.71,709.22,1378.58,14923725,Neutral,38.90114761861581,643.49,2017-10,2017
2017-11-16,Amazon,967.92,55.16,892.23,1149.53,16735292,Neutral,-16.614922601517502,-837.07,2017-11,2017
2017-12-05,Amazon,1440.1,958.67,909.25,727.43,33729564,Bearish,-36.71935486677164,49.41999999999996,2017-12,2017
2017-12-07,Amazon,1262.78,673.41,733.28,922.17,26067364,Bullish,26.77096077973138,-59.870000000000005,2017-12,2017
2017-12-14,Amazon,719.08,479.22,1023.77,105.01,41443484,Neutral,-88.61272867258748,-544.55,2017-12,2017
2017-12-18,Amazon,1477.25,1213.04,1393.86,176.77,18067975,Bullish,68.33634891915057,-180.81999999999994,2017-12,2017
2017-12-22,Amazon,140.88,1216.82,818.6,997.67,42421169,Neutral,464.3887537478078,398.2199999999999,2017-12,2017
2018-01-19,Amazon,1047.97,792.84,1284.81,436.25,35903678,Bearish,-56.27311636112141,-491.9699999999999,2018-01,2018
2018-01-25,Amazon,334.13,105.69,521.21,384.67,7921687,Bearish,-11.823495702005726,-415.52000000000004,2018-01,2018
2018-01-31,Amazon,249.24,991.57,979.45,1445.11,14408903,Bullish,275.6752541139158,12.120000000000005,2018-01,2018
2018-02-12,Amazon,1247.77,1295.12,961.52,1334.35,30377055,Bearish,-7.664468448768602,333.5999999999999,2018-02,2018
2018-02-13,Amazon,849.63,1105.07,622.06,216.14,13186640,Bearish,-83.80185108854499,483.01,2018-02,2018
2018-02-25,Amazon,469.95,885.49,676.5,1181.29,5511613,Bullish,446.53928009623394,208.99,2018-02,2018
2018-03-02,Amazon,385.23,396.72,688.35,868.65,46835494,Bullish,-26.465982104309692,-291.63,2018-03,2018
2018-03-08,Amazon,794.14,740.3,179.89,433.87,26932580,Bullish,-50.05238013008692,560.41,2018-03,2018
2018-03-10,Amazon,830.26,247.17,1124.37,869.62,9234316,Bearish,100.43330951667548,-877.1999999999999,2018-03,2018
2018-03-19,Amazon,1338.34,1347.44,960.13,876.67,36742495,Bullish,0.8106989259676567,387.31000000000006,2018-03,2018
2018-03-25,Amazon,934.19,1083.88,1278.45,1262.06,47960600,Neutral,43.960669351067104,-194.56999999999994,2018-03,2018
2018-03-26,Amazon,1441.31,1018.87,1398.88,83.91,43098642,Bullish,-93.35134621174905,-380.0100000000001,2018-03,2018
2018-04-02,Amazon,1139.84,1493.72,142.95,378.84,32415702,Neutral,351.4837325706114,1350.77,2018-04,2018
2018-04-09,Amazon,141.26,727.08,715.6,1159.52,49626387,Neutral,206.07116460774998,11.480000000000018,2018-04,2018
2018-04-16,Amazon,548.87,256.72,621.72,1081.78,33709404,Neutral,-6.704498413136473,-365.0,2018-04,2018
2018-06-06,Amazon,1301.46,1058.76,1285.15,70.39,12822766,Bullish,-93.49313169036218,-226.3900000000001,2018-06,2018
2018-06-07,Amazon,364.43,477.31,353.14,1378.35,38669626,Neutral,1858.1616706918594,124.17000000000002,2018-06,2018
2018-06-08,Amazon,1476.97,1395.54,101.2,854.58,37037427,Bearish,-37.99978234846011,1294.34,2018-06,2018
2018-06-19,Amazon,215.45,765.11,207.51,181.68,6310294,Bullish,-78.74043389735309,557.6,2018-06,2018
2018-06-25,Amazon,1323.54,280.31,650.92,257.18,32016459,Bullish,41.55658300308234,-370.60999999999996,2018-06,2018
2018-06-27,Amazon,894.36,1345.58,681.27,788.6,2392714,Neutral,206.63348627420484,664.31,2018-06,2018
2018-07-04,Amazon,385.56,1523.12,146.26,495.22,35835906,Neutral,-37.20263758559472,1376.86,2018-07,2018
2018-07-11,Amazon,483.21,493.27,326.46,1144.63,43045234,Neutral,131.13565687977064,166.81,2018-07,2018
2018-07-14,Amazon,1417.92,1490.9,500.51,364.42,10514188,Neutral,-68.16263770825508,990.3900000000001,2018-07,2018
2018-07-17,Amazon,729.22,1327.01,1389.29,1037.51,49246618,Bullish,184.70171779814498,-62.27999999999997,2018-07,2018
2018-07-27,Amazon,1160.12,528.44,1026.84,1237.46,23746327,Bullish,19.27210340141301,-498.39999999999986,2018-07,2018
2018-07-31,Amazon,201.11,623.57,1364.56,942.14,27331816,Neutral,-23.86501381862849,-740.9899999999999,2018-07,2018
2018-08-01,Amazon,209.72,1359.19,837.72,640.02,48544534,Neutral,-32.067420977774006,521.47,2018-08,2018
2018-08-10,Amazon,534.24,1001.03,711.29,1446.45,47644351,Bearish,126.00074997656323,289.74,2018-08,2018
2018-08-12,Amazon,819.78,802.04,640.49,355.24,41605146,Bearish,-75.4405613743994,161.54999999999995,2018-08,2018
2018-08-18,Amazon,1472.94,813.59,1118.35,393.87,48127859,Neutral,10.874338475396916,-304.7599999999999,2018-08,2018
2018-08-20,Amazon,1138.96,359.77,598.3,746.14,27281449,Bearish,89.4381394876482,-238.52999999999997,2018-08,2018
2018-08-26,Amazon,616.34,1529.78,66.6,1165.75,22597372,Bullish,56.23743533385155,1463.18,2018-08,2018
2018-08-31,Amazon,1398.67,830.59,1371.7,771.78,33534056,Neutral,-33.79541067981986,-541.11,2018-08,2018
2018-09-07,Amazon,1171.95,441.65,501.93,784.81,16678164,Bearish,1.6883049573712672,-60.28000000000003,2018-09,2018
2018-09-08,Amazon,432.04,1460.2,1359.43,97.62,22980654,Neutral,-87.56132057440654,100.76999999999998,2018-09,2018
2018-09-25,Amazon,1453.03,1445.87,306.64,62.38,16990230,Bullish,-36.09916000819504,1139.23,2018-09,2018
2018-10-05,Amazon,91.67,773.27,405.28,555.47,28884741,Bullish,790.4616864379609,367.99,2018-10,2018
2018-10-14,Amazon,950.98,1518.36,608.14,560.39,43401704,Bearish,0.8857364034061233,910.2199999999999,2018-10,2018
2018-10-17,Amazon,900.41,929.87,1396.35,1393.06,40763067,Bullish,148.58759078498903,-466.4799999999999,2018-10,2018
2018-10-25,Amazon,805.36,1217.73,1423.16,1315.7,13348096,Bullish,-5.553242502117628,-205.43000000000006,2018-10,2018
2018-10-26,Amazon,1084.51,287.83,132.21,1333.18,16903353,Bullish,1.3285703427833084,155.61999999999998,2018-10,2018
2018-11-01,Amazon,1444.46,1311.02,929.02,364.47,1286977,Neutral,-72.66160608469974,382.0,2018-11,2018
2018-11-08,Amazon,824.96,1252.44,356.7,981.83,7046548,Bullish,169.38568332098663,895.74,2018-11,2018
2018-11-23,Amazon,1256.1,211.8,1301.14,543.73,126043,Bullish,-44.62075919456525,-1089.3400000000001,2018-11,2018
2018-11-24,Amazon,262.72,342.87,943.57,1405.88,38263769,Bullish,158.56215401026245,-600.7,2018-11,2018
2018-11-26,Amazon,50.65,1439.8,240.71,1098.61,25685628,Bearish,-21.856061683785256,1199.09,2018-11,2018
2018-12-01,Amazon,1318.54,963.37,206.04,1018.12,14414935,Bearish,-7.326530798008379,757.33,2018-12,2018
2019-01-16,Amazon,822.91,485.39,869.33,293.46,32074581,Neutral,-71.17628570306054,-383.94000000000005,2019-01,2019
2019-01-29,Amazon,303.11,1258.84,1349.13,516.67,33604581,Neutral,76.06147345464458,-90.29000000000019,2019-01,2019
2019-02-06,Amazon,373.86,1031.95,959.78,746.11,11614019,Neutral,44.4074554357714,72.17000000000007,2019-02,2019
2019-02-13,Amazon,1213.46,881.93,1320.49,1083.88,18739186,Bullish,45.27080457305224,-438.56000000000006,2019-02,2019
2019-02-17,Amazon,552.47,1520.18,641.58,1061.7,5120300,Neutral,-2.046351994685769,878.6,2019-02,2019
2019-02-18,Amazon,527.99,108.81,1370.01,1276.39,47458645,Bullish,20.22134312894415,-1261.2,2019-02,2019
2019-02-21,Amazon,524.43,1231.25,523.63,360.93,36082272,Neutral,-71.72259262451132,707.62,2019-02,2019
2019-03-03,Amazon,1132.22,225.05,515.22,805.79,19666992,Neutral,123.25381652952095,-290.17,2019-03,2019
2019-04-01,Amazon,660.68,913.76,255.17,677.47,4827276,Bearish,-15.924744660519485,658.59,2019-04,2019
2019-04-06,Amazon,614.7,1090.16,428.27,1379.58,38351593,Neutral,103.63706141969385,661.8900000000001,2019-04,2019
2019-04-11,Amazon,1107.29,483.87,418.7,1496.37,131165,Neutral,8.465619971295602,65.17000000000002,2019-04,2019
2019-04-15,Amazon,1233.4,1327.47,805.95,621.44,32800643,Bullish,-58.47016446467117,521.52,2019-04,2019
2019-04-20,Amazon,1485.62,909.9,335.74,962.81,42257012,Neutral,54.93209320288359,574.16,2019-04,2019
2019-04-29,Amazon,1186.39,1295.86,68.07,517.51,27780640,Bearish,-46.250038948494506,1227.79,2019-04,2019
2019-05-19,Amazon,1214.18,477.86,1355.94,640.93,28270618,Bullish,23.84881451566152,-878.08,2019-05,2019
2019-06-01,Amazon,510.62,1276.82,594.11,298.45,21540793,Neutral,-53.43485247999001,682.7099999999999,2019-06,2019
2019-06-05,Amazon,603.82,300.49,552.02,1089.58,1861091,Neutral,265.07957781873006,-251.52999999999997,2019-06,2019
2019-06-14,Amazon,948.5,58.11,828.67,1320.44,27755990,Neutral,21.187980689807095,-770.56,2019-06,2019
2019-06-27,Amazon,886.4,1280.58,1444.48,305.32,48261645,Bullish,-76.8774045015298,-163.9000000000001,2019-06,2019
2019-07-04,Amazon,395.76,359.48,803.23,1196.74,24213584,Neutral,291.96253111489585,-443.75,2019-07,2019
2019-07-10,Amazon,956.15,980.1,1065.7,1343.16,6587426,Bullish,12.234904824773984,-85.60000000000002,2019-07,2019
2019-07-20,Amazon,514.71,1299.81,728.68,1352.1,23119926,Bullish,0.6655945680335895,571.13,2019-07,2019
2019-07-23,Amazon,1181.43,1187.2,1157.33,135.46,30799754,Bullish,-89.98151024332519,29.87000000000012,2019-07,2019
2019-08-01,Amazon,970.58,1246.11,123.82,517.13,42559951,Neutral,281.75845267975785,1122.29,2019-08,2019
2019-08-18,Amazon,678.6,112.43,1032.47,1313.59,45444933,Neutral,154.0154313228782,-920.04,2019-08,2019
2019-08-26,Amazon,1408.97,1344.99,1051.94,182.3,5955953,Neutral,-86.12200153777053,293.04999999999995,2019-08,2019
2019-09-05,Amazon,88.98,1140.13,371.26,601.02,26270431,Bearish,229.6873285792649,768.8700000000001,2019-09,2019
2019-09-08,Amazon,1482.21,285.85,1077.59,786.66,12558102,Bearish,30.887491264849753,-791.7399999999999,2019-09,2019
2019-09-19,Amazon,346.27,1378.39,1029.26,1419.27,45848084,Bearish,80.41720692548242,349.1300000000001,2019-09,2019
2019-10-01,Amazon,1151.53,152.4,679.27,1312.11,4598072,Neutral,-7.550360396541889,-526.87,2019-10,2019
